zip,median_income,district,crime_incidents_2022,education,housing,total_population,income_norm,crime_norm,education_norm,housing_norm,density_norm,composite_score,rank
2129,146815.0,A15,1461,70.6,1900,19832.0,0.7696038179457487,1.0,0.6879334257975035,0.6903837861147046,0.6560842649912224,0.7836728233680011,1
2132,132457.0,E5,3682,64.4,1947,26488.0,0.6688353159981753,0.7408401400233372,0.6019417475728157,0.6701164294954722,0.53308694447011,0.6601391938660467,2
2210,179643.0,C6,6097,93.1,3501,5706.0,1.0,0.4590431738623104,1.0,0.0,0.9171209461332348,0.6564728880789011,3
2108,170379.0,A1,8520,75.8,2545,4218.0,0.9349826297505001,0.17631271878646437,0.7600554785020804,0.4122466580422596,0.9446179432689642,0.6067460587700055,4
2127,145357.0,C6,6097,70.0,2255,36175.0,0.7593711618766887,0.4590431738623104,0.6796116504854369,0.5373005605864597,0.35407927561674213,0.5833939537108034,5
2130,114933.0,E13,4295,70.7,2216,41479.0,0.5458469312559217,0.6693115519253209,0.6893203883495147,0.5541181543768866,0.25606578582648065,0.5780839079232389,6
2131,101566.0,E5,3682,50.2,1821,31637.0,0.4520335473909534,0.7408401400233372,0.40499306518724004,0.7244501940491591,0.43793772521482033,0.5679008462223345,7
2109,162179.0,A1,8520,81.5,3154,3559.0,0.8774327122153209,0.17631271878646437,0.839112343966713,0.14963346269943945,0.95679571283378,0.5568650903670549,8
2134,80027.0,D14,5654,76.2,2211,17969.0,0.3008667579043408,0.5107351225204201,0.7656033287101249,0.55627425614489,0.6905109489051096,0.5363270819677042,9
2113,106625.0,A1,8520,81.0,2316,6688.0,0.48753903919710845,0.17631271878646437,0.8321775312066575,0.5109961190168175,0.8989744063568327,0.5244951101762715,10
2110,126157.0,A1,8520,85.0,2939,2337.0,0.6246201354528547,0.17631271878646437,0.8876560332871013,0.24234583872358773,0.9793772521482029,0.5241713131767879,11
2114,121418.0,A1,8520,83.9,2698,13356.0,0.5913604940870969,0.17631271878646437,0.8723994452149794,0.346269943941354,0.7757553358588192,0.513227714635539,12
2116,131648.0,D4,9592,77.3,2255,22286.0,0.663157525353546,0.05122520420070009,0.7808599167822469,0.5373005605864597,0.6107363947149589,0.5033014173337987,13
2136,91579.0,E18,4109,32.9,1588,39498.0,0.381941958802681,0.6910151691948658,0.16504854368932037,0.8249245364381199,0.29267301117989464,0.4955011991428643,14
2135,87603.0,D14,5654,71.0,2154,44480.0,0.35403726708074534,0.5107351225204201,0.6934812760055479,0.5808538163001293,0.2006098124364779,0.4911210971050746,15
2128,84023.0,A7,3719,35.6,1942,45357.0,0.32891181527880126,0.7365227537922987,0.20249653259362002,0.6722725312634756,0.18440358495795994,0.45975281353499015,16
2111,72321.0,A1,8520,61.5,1873,8417.0,0.2467838719865249,0.17631271878646437,0.5617198335644938,0.7020267356619232,0.8670239305183406,0.44522585459036484,17
2199,111786.0,D4,9592,90.5,3413,1221.0,0.5237603958311401,0.05122520420070009,0.9639389736477116,0.03794739111686074,1.0,0.4441236729608745,18
2118,74155.0,D4,9592,54.8,1485,28392.0,0.25965540232305157,0.05122520420070009,0.46879334257975036,0.869340232858991,0.49790261480181097,0.3951371281988673,19
2215,64138.0,D4,9592,83.7,2308,24522.0,0.18935326525599186,0.05122520420070009,0.8696255201109571,0.5144458818456231,0.5694169823523977,0.3939005959907288,20
2126,66689.0,B3,7316,23.6,1566,24994.0,0.20725690423553356,0.31680280046674447,0.036061026352288514,0.8344113842173351,0.56069481659429,0.3611788899489232,21
2115,51454.0,D4,9592,67.1,1992,27838.0,0.10033336842474647,0.05122520420070009,0.6393897364771151,0.6507115135834411,0.5081400720687426,0.34672390037534717,22
2120,51698.0,B2,10031,43.4,1407,14364.0,0.10204582938554936,0.0,0.31067961165048547,0.9029754204398448,0.7571283377991315,0.3439552975443666,23
2122,81025.0,C11,9136,35.7,1900,24705.0,0.3078710039653297,0.10443407234539093,0.20388349514563112,0.6903837861147046,0.5660352952046568,0.338533254850213,24
2125,64983.0,C11,9136,40.4,1762,31903.0,0.19528371407516582,0.10443407234539093,0.26907073509015256,0.7498921949115998,0.4330222673935138,0.322024259344841,25
2119,37158.0,B2,10031,30.8,1182,26821.0,0.0,0.0,0.1359223300970874,1.0,0.526933382611106,0.2798778042805281,26
2124,72189.0,C11,9136,30.3,1629,55336.0,0.24585745867986103,0.10443407234539093,0.12898751733703193,0.8072445019404916,0.0,0.2748192866118177,27
2121,42411.0,B2,10031,21.0,1282,29820.0,0.03686703863564586,0.0,0.0,0.956877964639931,0.47151436755058673,0.24774378934195637,28
